2023-05-29 15:05:10.9462|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7067 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-05-29 15:05:11.0882|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5098 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-05-29 15:05:11.0882|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-05-29 15:05:11.1016|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-05-29 15:05:11.1016|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\zsirc\OneDrive\Desktop\Hopmarket\Market\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-05-29 15:06:28.6078|0|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. |url: https://localhost/Product/GetProducts|action: GetProducts|Microsoft.EntityFrameworkCore.SqlServer.Extensions.Internal.SqlServerLoggerExtensions.DecimalTypeDefaultWarning
2023-05-29 15:17:46.3944|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7067 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-05-29 15:17:46.5204|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5098 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-05-29 15:17:46.5204|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-05-29 15:17:46.5204|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-05-29 15:17:46.5325|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\zsirc\OneDrive\Desktop\Hopmarket\Market\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-05-29 15:18:53.3541|0|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. |url: https://localhost/Product/GetProducts|action: GetProducts|Microsoft.EntityFrameworkCore.SqlServer.Extensions.Internal.SqlServerLoggerExtensions.DecimalTypeDefaultWarning
2023-05-29 16:42:10.5125|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7067 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-05-29 16:42:10.5979|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5098 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-05-29 16:42:10.6108|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-05-29 16:42:10.6108|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-05-29 16:42:10.6108|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\zsirc\OneDrive\Desktop\Hopmarket\Market\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
