2023-06-05 13:06:06.9082|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7067 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-06-05 13:06:07.0709|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5098 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-06-05 13:06:07.0872|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-05 13:06:07.1119|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-05 13:06:07.1189|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\zsirc\OneDrive\Desktop\Hopmarket\Market\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-05 13:06:45.9681|0|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. |url: https://localhost/Basket/AdminDetail|action: AdminDetail|Microsoft.EntityFrameworkCore.SqlServer.Extensions.Internal.SqlServerLoggerExtensions.DecimalTypeDefaultWarning
2023-06-05 13:09:14.5961|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7067 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-06-05 13:09:14.6330|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5098 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2023-06-05 13:09:14.6330|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-05 13:09:14.6658|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-05 13:09:14.6658|0|INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\zsirc\OneDrive\Desktop\Hopmarket\Market\ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2023-06-05 13:09:34.2461|0|WARN|Microsoft.EntityFrameworkCore.Model.Validation|No store type was specified for the decimal property 'Price' on entity type 'Product'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'. |url: https://localhost/Basket/Detail|action: Detail|Microsoft.EntityFrameworkCore.SqlServer.Extensions.Internal.SqlServerLoggerExtensions.DecimalTypeDefaultWarning
